	sequences per sample	iteration	ERR2233229	ERR2233255	ERR2233253	ERR2233254	ERR2233231	ERR2233239	ERR2233233	ERR2233235	ERR2233236	ERR2233240	ERR2233238	ERR2233271	ERR2233241	ERR2233248	ERR2233243	ERR2233245	ERR2233246	ERR2233249	ERR2233250	ERR2233251	ERR2233259	ERR2233264	ERR2233265	ERR2233268	ERR2233277	ERR2233278	ERR2233287	ERR2233317	ERR2233261	ERR2233270	ERR2233266	ERR2233234	ERR2233247	ERR2233257	ERR2233262	ERR2233269	ERR2233267	ERR2233237	ERR2233256	ERR2233286	ERR2233292	ERR2233310	ERR2233293	ERR2233299	ERR2233301	ERR2233303	ERR2233260	ERR2233244	ERR2233304	ERR2233273	ERR2233276	ERR2233318	ERR2233258	ERR2233312	ERR2233263	ERR2233307	ERR2233272	ERR2233309	ERR2233274	ERR2233275	ERR2233279	ERR2233280	ERR2233281	ERR2233282	ERR2233283	ERR2233284	ERR2233285	ERR2233289	ERR2233297	ERR2233295	ERR2233296	ERR2233313	ERR2233300	ERR2233314	ERR2233305	ERR2233311	ERR2233306	ERR2233308	ERR2233315	ERR2233316	ERR2233319	ERR2233320	ERR2233321	ERR2233230	ERR2233242	ERR2233288	ERR2233290	ERR2233291	ERR2233232	ERR2233252
alpha_rarefaction_2443_0.txt	2443	0	8170.029411764706	7210.535294117647	6548.006172839506	7097.3185840707965	7531.7307692307695	7609.468085106383	6321.616766467066	7951.564935064935	7323.919254658385	6080.490566037736	7465.880794701987	7076.357142857143	7515.506849315068	7423.013422818792	7720.871621621622	8035.538461538462	8192.71794871795	6131.047904191617	7080.0	8844.0	5725.5	7015.208053691275	7435.013422818792	5970.06993006993	4541.503816793893	3432.0387096774193	3489.3333333333335	1502.5140186915887	6701.877094972067	7366.875	6732.096774193548	7293.335877862595	7620.357142857143	7966.801204819277	6558.9	7146.490322580645	6404.6033519553075	7605.31875	6148.781690140845	2441.6446280991736	3354.076923076923	4064.0104166666665	3168.9523809523807	1102.1617647058824	751.8421052631579	2165.333333333333	6257.927374301676	8868.5859375	4146.15	2998.5911949685533	5130.091463414634	3320.168067226891	6687.684210526316	4412.383333333333	6936.242774566474	3641.15	3833.1739130434785	3380.705882352941	2856.5694444444443	4414.639999999999	5909.778523489933	2793.0135135135133	3466.5416666666665	2406.9444444444443	3124.4285714285716	2865.75	2467.4776119402986	917.09375	2569.439024390244	3126.375	2640.2745098039213	3439.7830188679245	1069.1290322580644	3924.7580645161293	3908.7571428571428	3250.6470588235293	4367.073170731707	2783.322916666667	1979.65	835.8	3347.076923076923	4650.857142857143	4314.546153846153	8236.53237410072	7379.382165605096	1138.3818181818183	1046.482142857143	532.5333333333333	6503.240875912409	7624.025477707007
alpha_rarefaction_2443_1.txt	2443	1	8813.908396946565	6508.459302325581	6862.8141025641025	5826.764705882353	8307.817567567567	7017.693251533742	7126.848684210527	7390.2875	7178.94375	7920.354166666667	6916.03125	5958.777142857143	7653.321917808219	6291.4457142857145	6743.16	8296.479166666668	7092.304347826087	6668.917647058824	6378.913294797688	8759.666666666668	5774.005780346821	6831.064935064935	5806.290502793296	6277.240875912409	4290.6056338028175	3044.042944785276	2278.6446280991736	1870.4466019417475	6824.567415730337	7030.066666666667	6893.625	6326.875	6669.818181818182	7601.767857142857	7439.719424460432	6716.625	8385.869565217392	8470.08219178082	7835.459016393443	2630.027777777778	3100.046511627907	3524.743119266055	3384.8333333333335	1115.0545454545454	831.590909090909	1913.2560975609756	6803.093167701863	7534.518518518518	4017.9508196721313	3220.6447368421054	4900.639534883721	3130.00826446281	6073.020689655173	4859.909090909091	6711.954022988506	3185.6725663716816	3672.7236842105262	3497.25	2795.1319444444443	4315.590909090909	5290.565217391304	2584.1111111111113	3426.0	2819.0	2424.0	2483.5666666666666	2283.875	924.3571428571429	3043.759259259259	2763.022727272727	2773.0	3303.039603960396	1242.7974683544303	4301.717948717949	4181.14705882353	3256.5	3550.0	2587.301724137931	2342.3703703703704	815.4038461538462	3777.054054054054	4166.1276595744675	4515.671875	7476.673076923077	8503.488888888889	1344.0588235294117	1130.27868852459	512.0277777777778	6589.933333333333	8572.272727272728
alpha_rarefaction_2443_2.txt	2443	2	9256.032258064515	6951.228070175439	7419.375	5931.846715328467	8132.25	7720.294117647059	6757.471337579618	7503.165605095542	7993.827814569537	6463.245508982036	7634.64	7132.757142857143	7593.978723404255	6868.06875	8998.176923076924	8687.860294117647	6980.593220338983	7322.040816326531	7215.644295302013	7855.354838709677	5869.969512195122	5936.130434782609	8110.217054263566	6293.7441860465115	4173.973154362417	3316.3630573248406	2599.651785714286	1608.0325203252032	7811.188679245283	7838.007142857143	7265.490322580645	6764.577464788732	7914.4503816793895	8545.110344827586	6431.006535947712	7851.575342465753	6896.044025157233	7747.720930232558	6843.27205882353	2555.4563106796118	3315.6946564885498	3122.2950819672133	3216.2869565217393	1064.904761904762	726.2173913043478	2020.8658536585365	6634.818181818182	8009.239130434783	4543.8050847457625	2788.122699386503	5237.939759036144	3574.791304347826	6733.4375	4358.641025641025	7981.578231292517	3719.0	3366.7977528089887	3260.036036036036	2755.776397515528	4796.222222222223	4916.850574712644	2518.448275862069	2500.632075471698	3055.222222222222	2252.4536082474224	2660.0	2632.1639344262294	954.5227272727273	2961.834862385321	2867.2307692307695	2431.826086956522	3858.0666666666666	1199.0	4126.974358974359	4386.714285714286	2808.342857142857	4388.266666666666	2719.198113207547	2673.8358208955224	935.2592592592592	3580.622950819672	4358.194444444444	4967.054545454545	7282.914473684211	8270.333333333332	1269.4482758620688	1210.1176470588234	477.2941176470588	6391.615384615385	6892.641618497109
alpha_rarefaction_2443_3.txt	2443	3	7979.979166666667	7087.087719298245	7540.271428571428	6732.653543307087	7208.259259259259	6458.546012269939	7097.94	9306.654411764706	7066.259259259259	7021.304964539007	7345.198581560284	6233.8141025641025	7160.4258064516125	6416.3	6940.055555555556	8262.506849315068	7565.369696969697	6005.604278074867	7333.264900662251	7884.506493506494	5735.966101694915	6275.139664804469	6447.038961038961	5407.639455782313	5160.96	3037.447674418605	2623.060606060606	2006.2631578947369	7127.381502890174	7130.388157894737	7692.689189189189	7069.907692307693	7836.3576642335765	8749.729166666668	6606.138157894737	7140.173076923077	6859.484472049689	7669.993788819876	6665.342857142857	3075.1354166666665	3184.5193798449613	2877.1	3476.7272727272725	1052.1	898.1320754716982	1963.7051282051282	7082.75	8316.0	4026.3076923076924	2865.25	5395.41447368421	3123.6	6902.210526315789	4672.333333333334	7426.894736842105	3174.771186440678	3322.8837209302324	3555.8811881188117	2823.06993006993	4552.923076923077	5706.78431372549	2695.8589743589746	2653.31914893617	3043.548780487805	2973.6111111111113	2432.222222222222	2697.0	841.4590163934427	2795.8272727272724	2676.179104477612	2813.783505154639	3476.092783505155	1188.5616438356165	4075.162393162393	3761.1666666666665	2554.0	4047.0793650793653	3495.794520547945	2228.7	852.0	3921.0810810810813	5077.307692307692	4594.488888888889	8095.734693877551	8086.44	1124.7586206896551	1291.0208333333335	500.625	6345.226027397261	8027.006896551724
alpha_rarefaction_2443_4.txt	2443	4	7764.420689655172	7347.234939759036	8020.071428571428	6439.623076923077	7993.868965517241	6990.176470588235	8064.0	7544.445859872611	7510.677419354839	6462.3109756097565	7964.793103448276	6416.349693251534	7279.571428571428	6221.795580110497	7290.127388535032	8420.066666666666	7884.519480519481	6979.546052631579	7104.273885350319	7735.241610738255	5915.172839506173	6954.440789473684	6695.132911392405	5543.3722627737225	3982.5	3383.329268292683	2882.4077669902913	1854.28	7909.852348993289	7416.5	6172.819767441861	7140.407407407408	6575.1	8562.73076923077	6324.098684210527	7308.04255319149	7453.26875	7604.461077844311	7191.796875	2859.2799999999997	3526.759259259259	3544.6666666666665	2958.3955223880594	1038.7619047619048	809.4	1995.0	6681.818181818182	8784.186046511628	4547.878260869566	2725.710382513661	5372.172185430463	3590.08547008547	6538.3488372093025	4628.513274336283	7656.00641025641	3234.0	3056.0363636363636	3020.2644628099174	2456.0807453416146	4439.8175675675675	5092.408602150537	2302.645161290323	2697.7799999999997	2640.09375	2663.010989010989	2306.8478260869565	1990.6962025316457	1046.5593220338983	2607.808	2773.878048780488	2355.508333333333	3068.025641025641	1527.5151515151515	4540.094339622641	4653.929203539823	3121.5108695652175	3443.6861313868612	2803.554347826087	2622.5128205128203	783.578947368421	3341.685950413223	4306.388059701492	4925.478260869565	8005.6	7106.46875	1253.892857142857	1029.8	506.4102564102564	6950.369565217391	7099.304878048781
alpha_rarefaction_2443_5.txt	2443	5	7521.450980392156	7792.443037974684	7551.310344827586	5949.931506849315	8848.87786259542	8378.142857142857	7066.673469387755	8072.94	7429.375	6440.88679245283	7171.519480519481	6874.3877551020405	7923.397260273972	6809.788461538462	7333.322981366459	8055.354838709677	7357.754385964912	6414.210191082802	6601.463855421687	7808.099337748345	5479.151685393259	7050.806451612903	6509.962264150943	5775.072463768116	4586.794326241135	3035.4397590361446	2760.057142857143	1847.1941747572816	6451.870056497175	8349.60465116279	7032.693251533742	7356.377777777778	7010.279220779221	9086.661971830985	7157.578231292517	8070.812949640288	7605.720779220779	7884.019607843137	5679.608695652174	2382.9741379310344	3480.181818181818	3814.9611650485435	2817.166666666667	831.3970588235294	706.6666666666667	1823.4137931034484	6198.060240963855	7566.602739726028	4223.51282051282	2877.4216867469877	5268.0	3369.5304347826086	6375.860294117647	4485.0	6913.9503105590065	2985.032520325203	3390.0254777070063	3236.1284403669724	2787.509433962264	4171.5	5080.5055555555555	2175.421052631579	3251.5925925925926	3585.625	2709.75	2472.3870967741937	2458.394366197183	1016.5576923076923	2448.4087591240877	2819.9756097560976	2526.238532110092	3637.8076923076924	1221.4634146341464	4769.709090909091	4754.573913043478	3116.1559633027523	4927.061946902655	3060.608695652174	2493.225	976.71875	3384.679104477612	4538.224	4503.090909090909	7200.801204819277	8680.7578125	1068.4	1468.7708333333335	550.8571428571429	6377.314685314685	8116.31914893617
alpha_rarefaction_2443_6.txt	2443	6	7526.450980392156	6846.087719298245	8275.66911764706	6040.525179856115	7757.726027397261	8000.079136690648	6987.764705882353	8757.376811594204	8085.445945945946	6747.664556962025	6790.130434782609	7388.881889763779	7223.666666666667	7272.7692307692305	7857.13475177305	7466.124223602485	8195.604026845638	7229.644295302013	6848.565217391304	8290.311688311689	5791.225274725275	6458.591463414634	5101.030456852792	6140.679104477612	4235.007407407407	3457.5694444444443	3036.9891304347825	1721.3428571428572	7997.178343949045	7226.816901408451	7068.125	6960.544117647059	6818.092592592592	7579.3975903614455	7314.021739130435	6507.493670886076	8267.709219858156	9574.916666666668	6196.102040816327	2670.139344262295	4266.157894736842	3341.0	3234.024	926.5	686.8461538461538	2013.0869565217392	7152.906666666667	6839.172839506173	4412.6	2480.7431693989074	5379.784810126583	3168.3125	6454.220472440945	4754.583333333334	6437.044198895028	3475.7567567567567	3469.85	2997.2363636363634	2761.021582733813	5522.4	5508.506097560976	2584.5697674418607	2966.289156626506	2385.054054054054	2884.6625	2412.904761904762	2744.09375	916.0151515151515	2824.3660714285716	2793.03937007874	2695.5238095238096	3341.8571428571427	1354.394366197183	3996.0442477876104	4186.623076923077	2806.875	4172.320610687023	2870.66	2664.576923076923	832.6595744680851	3587.4661016949153	5658.409523809524	4421.653543307087	7355.673076923077	9068.1328125	955.0	1316.3720930232557	468.7241379310345	7085.2677165354335	7313.085365853659
alpha_rarefaction_2443_7.txt	2443	7	7921.948529411765	6231.89010989011	8216.022727272728	5923.372093023256	7194.164556962025	8052.173913043478	8616.377952755905	7506.824675324675	7450.1366459627325	6867.019480519481	7739.157232704402	6627.171232876713	7635.244897959184	6988.449367088608	7765.428571428572	8083.715231788079	8095.803921568628	6960.52	7363.430463576159	9058.5	6417.5	5944.056497175141	6768.923076923077	6271.2180451127815	4786.386861313868	2971.016853932584	2466.162162162162	2061.213483146067	7477.519480519481	7044.2307692307695	6370.090909090909	6732.714285714285	8399.119047619048	8841.390070921985	6554.75	7396.925170068027	7629.625	7852.888888888889	6619.673913043478	2751.0	4067.9158878504672	3312.873873873874	3321.4745762711864	982.21875	728.2173913043478	2373.5	6457.9473684210525	7502.824675324675	4311.846153846154	2729.7017543859647	4441.38829787234	3753.605504587156	6767.838028169014	4655.957627118644	7341.322981366459	3405.8055555555557	3253.6593406593406	3071.128205128205	2832.267857142857	4047.864864864865	4911.255434782608	2466.3975903614455	2327.666666666667	2348.4245283018868	2632.126582278481	2445.211764705882	2046.8	979.4545454545455	2699.483870967742	2504.1290322580644	2434.048780487805	3335.010101010101	1269.8214285714284	4242.226086956522	5076.238532110092	2759.140186915888	4357.222222222223	2872.3863636363635	2540.0	876.34375	3643.714285714286	4741.768	5617.0	7969.904109589041	7547.0392156862745	1223.132075471698	1171.482142857143	405.575	6510.25	7640.484076433121
alpha_rarefaction_2443_8.txt	2443	8	8046.059701492537	6869.06875	7675.185430463576	6114.908396946565	7808.099337748345	7580.021739130435	7002.68085106383	8218.974522292992	7174.006493506494	6525.239263803681	8147.0	6127.386503067484	7921.377777777778	7120.650306748466	8324.33088235294	8065.537974683544	7995.554794520548	6852.723684210527	6328.364161849711	8589.204225352114	6638.4055944055945	6995.764705882353	6791.219512195122	5531.220779220779	4838.340909090909	3775.3214285714284	2637.777777777778	1947.8333333333333	7107.921686746988	7970.701492537313	8505.16	6314.978260869565	6950.642857142857	8013.56875	7047.107382550335	7883.119402985075	8001.542253521126	8402.506944444445	8165.172131147541	2505.186274509804	2756.6642335766423	3528.6	3199.815789473684	929.1587301587301	711.6142857142856	1851.0394736842106	6727.450980392156	8379.218309859156	4942.961165048544	3074.632911392405	5159.579617834395	3594.5625	6929.8	5134.176470588235	7083.6	3071.5447154471544	3346.0058479532163	3617.5238095238096	2523.379310344828	4771.65	5312.702247191011	2650.1294117647058	2627.271844660194	2788.0638297872338	2717.685393258427	2070.881188118812	2638.1884057971015	1244.6538461538462	2824.0442477876104	3097.913043478261	2393.008130081301	2889.0434782608695	1436.581081081081	4798.292452830188	3716.0416666666665	2775.0	4169.716535433071	2922.5	2430.5125	918.0	3749.5545454545454	4446.984375	4762.511627906977	7633.437086092716	7923.75	1320.4545454545455	1183.62	446.02222222222224	6674.115107913669	7634.509803921569
alpha_rarefaction_2443_9.txt	2443	9	8354.923076923078	7241.738853503185	6648.049079754601	6536.878048780488	7367.142857142857	7962.933333333333	7848.45	8211.894736842105	8126.793103448276	7139.486842105263	7236.476821192053	6592.291666666667	6848.3725490196075	6501.368421052632	8133.369565217391	7990.855345911949	8033.632911392405	7467.006896551724	7220.198675496688	8145.639455782313	5891.7375	6474.036363636364	6515.865030674847	6243.0	4103.037974683544	2949.9	2827.3396226415093	1610.1221374045801	6807.114285714286	6776.25	7198.198581560284	6885.904411764706	6298.255952380952	8449.56862745098	7560.0	7109.1241830065355	7529.171052631579	8573.857142857143	6823.382352941177	2453.8846153846152	3536.285714285714	4032.4752475247524	3147.093023255814	1032.1470588235293	747.9180327868853	1865.5	6886.128834355828	7300.0675675675675	3779.4253731343283	3006.290322580645	4952.272727272728	3110.52	6795.768656716418	4550.190082644628	7095.005882352942	3756.6792452830186	3623.089285714286	3268.509259259259	2822.06993006993	4463.354166666666	5659.006172839506	2347.5913978494623	2815.406976744186	2694.946808510638	2702.282608695652	2384.034090909091	2137.012195121951	1165.418181818182	2780.375	3130.375	2399.7333333333336	3428.75	1135.0	4305.461538461539	4011.4	3169.032258064516	4214.480916030534	2971.2580645161293	2631.7763157894738	799.119266055046	3727.0	4319.96	4642.541984732825	7533.679245283019	8438.398550724638	1068.327868852459	1016.241935483871	543.7	7092.2677165354335	8705.323741007194
