SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	sample_accession	experiment_accession	geographic_location	library_name	site_name	sample_description	base_count	sample_title	Description	PCo1	PCo2	PCo3	PCo4	PCo5	PCo6	PCo7	PCo8	PCo9	PCo10	PCo11	PCo12	PCo13	PCo14	PCo15	PCo16	PCo17	PCo18	PCo19	PCo20	PCo21	PCo22	PCo23	PCo24	PCo25	PCo26	PCo27	PCo28	PCo29	PCo30	PCo31	PCo32	PCo33	PCo34	PCo35	PCo36	PCo37	PCo38	PCo39	PCo40	PCo41	PCo42	PCo43	PCo44	PCo45	PCo46	PCo47	PCo48	PCo49	PCo50	PCo51	PCo52	PCo53	PCo54	PCo55	PCo56	PCo57	PCo58	PCo59	PCo60	PCo61	PCo62	PCo63	PCo64	PCo65	PCo66	PCo67	PCo68	PCo69	PCo70	PCo71	PCo72	PCo73	PCo74	PCo75	PCo76	PCo77	PCo78	PCo79	PCo80	PCo81
ERR2233253	ERR2233253_1.fastq	ERR2233253_2.fastq	Back River, Maine	SAMEA104452322	ERX2286232	Back River, Maine	Cross River WB 1	Cross River	worm burrow	41586000	bioturb_Cross River WB 1	bioturb_Cross River WB 1	-0.266405689907517	0.0031840499049758	-0.128619002720842	0.0212841401377648	-0.04280046661165	-0.0745482479053129	0.0547916895862235	-0.0654425936175821	0.00352873203112567	0.0396500480838583	0.0715948550269283	0.0415496329828543	0.0519035960549563	0.125044500422504	-0.0585439122448186	0.0411645055902599	-0.0126274196490905	0.0426812696736665	0.158477963342887	-0.0351863534868022	0.0464249455037892	0.0281533315630963	-0.00481030574953353	0.0386204473687137	0.00735781726721738	-0.02456144746808	-0.0318466326388708	-0.0208893372887329	-0.0525716908380859	-0.00637124913371765	-0.00695711820551291	0.00735273447389913	0.057539162174904	-0.0162666638742807	0.04275861221793	-0.0100157620121821	0.0387065904547481	0.0166498366747435	0.0191291551411452	-0.0130807393465105	0.0502735539669628	0.0456852233739259	0.0374258625890744	-0.0178066896570632	0.00666370571465781	0.00094258960114573	-0.028729000094884	-0.0166481364738827	-0.0308479497293883	-0.00419643452939683	0.00203910118900408	0.0361639618990402	-0.00734087655307811	-0.0285925309435615	-0.000750224620401015	0.00142493860256326	0.00355489349625189	-0.00485094420757152	0.00717622319296497	-0.00673802294056041	0.000773216877392718	0.00102114241388214	-0.000592958761674877	0.00395456106365626	0.00331438389780611	0.00364326294058018	-0.00369093869194498	0.000936839610476281	-0.00668706652882677	0.00577035366384998	-0.00805120875757707	-0.00115914755476435	0.000917372123471099	0.00205351255105406	0.00542443783109951	0.00170890755100441	0.00379176315523841	0.00389133368722448	0.000315005736392633	-0.00000951348609762492	-0.000201659091475541
ERR2233254	ERR2233254_1.fastq	ERR2233254_2.fastq	Back River, Maine	SAMEA104452323	ERX2286233	Back River, Maine	Cross River WB 2	Cross River	worm burrow	43065158	bioturb_Cross River WB 2	bioturb_Cross River WB 2	-0.169902814345843	-0.178892606297835	-0.144828680337531	-0.341553897121629	-0.0465082666201162	-0.010535494978168	0.0695999859113358	0.0946890483761987	-0.0137608645602596	-0.010737364971361	0.0257436482464605	-0.0255302234995235	0.00649962673182899	0.0540483859234811	-0.0290413352356798	0.0653649593642605	0.0213789191889181	0.0217835411513953	0.0127734863463111	-0.0383593072234814	0.0412569299424395	0.0379462781135076	-0.0161869840761356	0.00789132587089621	-0.0107425007250403	-0.0293505206239938	0.00187139710179402	-0.0109150882515656	0.0149270540744457	-0.0236031588607679	0.00206619504381439	0.00554776789584755	0.0044831358528168	0.01141628614516	-0.023946260108765	0.00140378658465553	0.0104811472756964	-0.000765713418013269	0.0129195321230206	0.00827715262737447	-0.000464404618513999	-0.0110985980614281	0.0154165126034379	-0.0000636044742750457	-0.00528111815930803	-0.0120826956274176	-0.00661929645778955	-0.0101425473138345	0.00875983742245021	-0.00395733592790865	-0.0244385905594218	-0.00505404788753637	0.0101385473638449	0.00318469247785503	0.00373445523141921	0.0028440605127837	0.0104461218593127	0.00775280375595438	0.00420216042494674	0.00266096771066791	0.00703059507630402	0.00154780064741768	0.00122743110352882	0.00502862259373921	-0.00861843097121379	0.00139356494733676	0.0098204135116591	0.00343865324655619	-0.00232505472078203	-0.00255974112271949	0.0012976411290641	-0.00159110238466853	-0.000182698713315872	0.00320093722691704	-0.0085668658017765	0.00354000138901856	-0.000738734308712892	-0.00414895824036659	0.0067934694015444	0.00386059860505647	-0.000651700719120176
ERR2233255	ERR2233255_1.fastq	ERR2233255_2.fastq	Back River, Maine	SAMEA104452324	ERX2286234	Back River, Maine	Cross River WB 3	Cross River	worm burrow	39513544	bioturb_Cross River WB 3	bioturb_Cross River WB 3	-0.253258036529786	-0.0506830586732328	-0.139577917210233	0.0404355552428468	-0.0488699585853915	-0.0645673994680281	0.0432766743528054	-0.0545105160043186	0.000262149958433328	-0.00942742058258901	0.0279481805636134	0.0174968657330076	0.025087530156578	0.167357540340898	-0.0643641560996548	0.101546875342272	0.0313065846476316	0.0209240730762056	0.0744598243499851	-0.0203093027534016	0.00399429341912926	0.0614217077245418	-0.0131307829191418	0.000118471281376545	-0.0145039577091466	-0.00548641844146633	0.00485596768140918	-0.00651452124859371	0.0100284772466607	-0.0267761655055824	0.000160736203203474	-0.0144183411205742	0.0351768589498884	-0.0353869362691338	-0.0524639213636345	0.00357655621731296	-0.0121512728665035	0.0617388948060239	-0.0470648986269343	0.0125713886954671	-0.0211282516609805	-0.0664851004821088	-0.0383343703774945	0.0551757225689938	0.00017664955941848	0.00869555382680302	-0.00184290712869292	0.0146601793530961	0.0231193042704602	0.0070349815867806	-0.0100659446974488	-0.0146827604991592	0.00545224524189251	-0.0156230963361154	0.00986092682351745	-0.00150007071956769	-0.00386038254712992	-0.00224045126996345	0.00249758767087338	0.00825919683694465	0.0124079515433168	0.00130910028219258	0.004032218070718	0.00136580177056887	0.00416163022810935	0.00649654318543429	-0.0119505287976844	-0.00810486908121699	0.00356994445808908	0.00216204314432481	0.00137519546463958	0.00248518381240321	-0.00078432933520203	-0.00251161266005553	-0.00663626323806352	0.000651966941807471	0.00274571961838209	0.00338182656131665	-0.00375915925305817	-0.0025541425553185	-0.000612228336687972
ERR2233256	ERR2233256_1.fastq	ERR2233256_2.fastq	Back River, Maine	SAMEA104452325	ERX2286235	Back River, Maine	Cross River sed 1	Cross River	sediment	41870268	bioturb_Cross River sed 1	bioturb_Cross River sed 1	-0.20279301268284	-0.14551705224836	-0.154184755815691	-0.285833620733635	-0.0474857579323118	-0.0184252320817981	0.0599768792997808	0.0790324987471179	-0.0112026530660306	0.00360352361765958	-0.0285320970436611	-0.0469844337099228	-0.0229168092150962	0.00815003203752327	-0.00151637583769688	0.0314684854844227	0.0557871084501564	-0.0194904864268705	-0.0481124143719877	0.0123518151478359	0.00857395673314791	-0.0147697063482622	-0.00271163060727663	-0.0305182438705483	-0.0119189840804929	-0.00240479135476187	-0.00192141221067334	-0.0139456953102925	-0.00146286012813893	-0.00826140270013137	0.00399348697194861	0.00710784696456902	0.00784425673473103	-0.018823303793725	0.0354666988784362	0.00983520934566724	-0.0024511310022491	-0.00539172567486723	-0.00536465614603714	0.00112199556174895	-0.00452378569394165	0.0163533536637196	0.000991802118042227	-0.00623847088967057	0.000980096428503498	0.0132719492044666	0.0143548314683807	0.00167625922621695	0.0111419427048192	0.010198793322859	0.0258030949135719	0.00353529658935615	-0.0119794045950017	-0.00336776178930332	-0.018868974080399	-0.0102150029562186	-0.0104224497993575	-0.0153849738982099	0.00861011452050639	0.016871261232749	-0.00221035599207779	0.00184376701098256	0.00672804591693495	0.0114275439718934	0.0211332063193126	0.00619641969309045	-0.00171132054954	0.0123968473016991	0.0113454298115974	-0.0135571963117511	-0.00639591795611899	-0.0171014845355537	-0.00723598864442526	-0.0152944114904927	-0.00737547513088113	0.00840167414876243	0.0133198285523204	0.00843535297575767	0.0120495947338827	-0.00769465022207679	-0.00294682774585378
ERR2233257	ERR2233257_1.fastq	ERR2233257_2.fastq	Back River, Maine	SAMEA104452326	ERX2286236	Back River, Maine	Cross River sed 2	Cross River	sediment	50292692	bioturb_Cross River sed 2	bioturb_Cross River sed 2	-0.283663897507113	-0.0417078313207568	-0.152666699984032	0.0424450930302638	-0.0329067450285683	-0.0538809601062561	0.0311564502632164	-0.0431458263467576	0.00757614618284721	-0.000982830276340628	-0.0569360021782812	-0.0227821891977814	-0.0368511340388307	0.060709574626897	-0.010665649464654	0.0738838349705127	0.0680173186122753	-0.0051081078017066	-0.0210797662122798	0.0242951519370517	-0.00141029437617151	-0.0161317047695646	-0.00689857607774861	-0.047774688412189	-0.0174136167620763	-0.00000932802884941747	-0.0231529664311067	-0.0118942160633079	-0.0170544778445877	-0.00613587234533777	-0.00190686886675851	0.00682389608634425	0.035146005142178	-0.0455348904704445	0.0287443579739034	0.00578595273948213	0.0191746111931138	0.0173436332013869	-0.0585913215399083	-0.0297911570919647	-0.0369320739359447	0.0053854089879563	-0.0288039140453642	-0.0555985055054786	-0.00724590256976603	0.0106018796346398	0.0342941472919335	0.0071690634906637	-0.00127141378702469	0.00201809178738719	0.0341522173540698	0.0108724547229029	-0.00524955455938878	0.0178425023002071	-0.0089849608510029	-0.0153096320532046	-0.0124374729436845	0.00924492599316735	-0.015936665874134	0.00105839229100871	-0.0134847021309035	0.00770412028751548	-0.0076496367138181	-0.00969743184366565	-0.00142812807629259	-0.00422531146977654	0.0190734648288879	-0.00467510954550322	-0.00869270331607901	-0.00280324182388391	0.00150863740355182	-0.00165017828837087	-0.00532941034298771	0.00190146688248114	0.00474202205455332	-0.0058674595279434	-0.00345659564291434	-0.00550942116290088	0.00508329919067633	0.00574595183144331	-0.000589349854065466
ERR2233258	ERR2233258_1.fastq	ERR2233258_2.fastq	Back River, Maine	SAMEA104452327	ERX2286237	Back River, Maine	Cross River sed 3	Cross River	sediment	38982222	bioturb_Cross River sed 3	bioturb_Cross River sed 3	-0.164366119677225	-0.164124516315132	-0.158117872276708	-0.346102154560243	-0.0347825166539653	-0.0142794319687645	0.0672908195674516	0.0959768305465671	-0.012515044544958	0.00316234935939214	-0.0305934392916154	-0.0528252589756074	-0.0284286751369063	0.0245507946976949	-0.00574024645351718	0.0600588022488749	0.0638413152516997	-0.00944073854456888	-0.0418647884920641	-0.00149505122784386	0.0339604929376824	-0.00220485801658788	-0.00305293763678207	-0.0424318563770332	-0.0162565508992291	-0.026540002286224	-0.0180777568082215	-0.0041189752156141	-0.000779031704354135	-0.0066875313185486	0.00166761625117735	0.0143837324103401	0.00682102291887207	-0.00133528396619888	0.019127548576133	0.00734133870393869	0.0109702684319855	0.00397288935500396	-0.0151050037886567	0.00437274339794762	-0.00691476542202204	0.00833309301949372	0.00331689651514056	-0.00872840633877315	-0.00132304888251606	-0.00497479413965995	-0.00368843803255663	0.00137354056375215	-0.00248767135168122	-0.000430968799920555	0.00171604928668709	-0.00216466141215236	0.0024532662661271	0.00272787716534452	0.0118801586672807	0.0113628349051711	-0.00656781841982967	0.00792063067343679	-0.00671588390744738	-0.0161807273052596	-0.0037017698893975	-0.000574575089799506	-0.0027634548088434	-0.0103045009603506	-0.0197861942465113	-0.00414846663092367	-0.00668250653342804	-0.0125611184005093	-0.0021422493719172	0.0158631343185556	0.000825104359748817	0.01191461853459	0.00483116263111112	0.00919992011412598	0.013771442703202	-0.0113891674182394	-0.0108842607137152	-0.00576440508936884	-0.0128173094485491	0.0010706209080813	0.0033769753158702
ERR2233259	ERR2233259_1.fastq	ERR2233259_2.fastq	Damariscotta River, Maine	SAMEA104452328	ERX2286238	Damariscotta River, Maine	Lowes Cove WB	Lowes Cove	worm burrow	23483617	bioturb_Lowes Cove WB	bioturb_Lowes Cove WB	-0.15903144849718	0.0278434054855049	0.0291201689920961	-0.277801527852224	0.00374573344942429	0.0195170391683619	0.0512934035598591	0.097197003351174	-0.0258363082261738	0.0586537801157846	0.162111127657588	0.00825631341441917	0.144319975286543	0.0141333763258413	-0.0722589490977718	-0.1659670632992	0.0980074687562042	-0.161998568172766	0.0305466500740067	0.151906378696711	-0.110779568806442	-0.0262007277289721	0.0380231029489801	-0.0118988300700978	0.0179307960673595	0.0761495493109116	0.00551989041860955	0.0164654525271291	-0.0058669001440549	0.0136247439396889	-0.0105202725951632	-0.00747675455134684	0.0259163660896692	-0.0134001958749056	0.00840384206330834	0.00128017295917112	-0.00722739120343518	0.0287765201638272	-0.0172966265247167	-0.00954956432176348	0.0131916388421604	-0.00667423004042629	-0.00709873632045794	-0.00269373742485383	-0.00365290715328109	-0.00264613168352932	-0.0131634284408258	-0.00622509275574512	-0.0081299284232872	-0.0076531878586936	-0.00224554145447638	0.00176596193496728	-0.000886012166338067	-0.00944851276866435	0.00480990243081586	0.000861407835444722	-0.00124785157323248	0.000836724257886954	-0.000541484277023513	-0.000615009854161231	0.00806976581874006	0.00449596796008585	0.00449849195556615	0.00254966791332639	-0.00193461105755121	0.0013725031099624	0.0017728229660282	-0.00281469915815467	-0.00334770554169696	0.00227313495249848	0.00304271587582496	-0.00139785766873166	0.000164131408466637	0.00288410261690789	0.000877844972995559	0.00097426814084208	-0.00017621260358108	-0.0018863078874636	0.00139157581816694	0.00167424973071995	0.000148227853663111
ERR2233280	ERR2233280_1.fastq	ERR2233280_2.fastq	Gulf of Mexico	SAMEA104452349	ERX2286259	Gulf of Mexico	Sta A 0-1 cm 1	Station A	sediment	36875338	bioturb_Sta A 0-1 cm 1	bioturb_Sta A 0-1 cm 1	0.364813960089242	-0.093419859621094	-0.021242358466613	-0.483769773553566	-0.0178009338155274	-0.115470877044802	-0.175959408314113	0.0889637139744222	0.321515775273827	-0.0442996040212621	0.0228668083212054	0.0301852101652302	-0.0106687461265815	0.00549631407795989	0.0329332345440261	-0.0104547852928222	0.0223457748849527	-0.00310681054972982	-0.0179203296955726	-0.00194754034508478	0.0255557707736989	0.016524448045512	-0.0129695773865094	0.00318674223366196	-0.0223341030125556	-0.0175831079016888	0.013031744889611	-0.0169801424527476	0.00493898756416898	-0.0136103610445991	-0.00106539711492348	0.0130977548740002	-0.00856437448379473	0.000823536182988536	-0.00426518520881107	-0.00741421113392899	0.00500380410536705	-0.00244350368848975	0.00555892398219713	0.00878295627820483	-0.000936141750365475	0.0101388883226941	0.00888880404728326	0.00597970865357734	-0.000594566275021013	-0.00141281654934996	0.00122131004890922	0.000968070056064945	0.00264043394303345	0.00139152582190374	-0.00416193815236748	0.000499880194731536	0.00252863756781782	0.000305896592971239	-0.00181610796938339	0.0028607134800836	0.00227058489806209	0.00155805080313733	-0.000160158943196767	0.0061821375493674	-0.00140979998215748	-0.00179383702895506	-0.00321511678556115	-0.000242002178021965	-0.00103762729594442	0.0012524088749494	-0.00110730885925632	-0.000736260638867786	-0.00037518482890267	0.00112633758827036	-0.000126713223702888	0.000826211442049377	0.000533140542531182	0.0000465422946812299	-0.00260145817086102	0.00105089736446188	-0.000322134581367254	0.0000480700463310741	0.00057371307703477	0.000489189795462231	-0.0000532235900561986
ERR2233281	ERR2233281_1.fastq	ERR2233281_2.fastq	Gulf of Mexico	SAMEA104452350	ERX2286260	Gulf of Mexico	Sta A 0-1 cm 2	Station A	sediment	35353490	bioturb_Sta A 0-1 cm 2	bioturb_Sta A 0-1 cm 2	0.387900757744296	0.0735505305886572	-0.00787668914906459	-0.117792472370115	-0.028082975575519	-0.192597776853011	-0.300772409824542	-0.0952796420363746	0.457326518664576	-0.0632536231950491	0.0164778164943337	0.116111467426176	-0.02813885757089	0.0493263388137961	0.0676145532256082	-0.0204802312467895	-0.0220808980467688	0.0190799526994868	0.00716650700054875	0.0264660500486234	-0.0178674272819767	-0.0154354053655146	-0.00269788431706668	-0.0076816662769364	-0.00465644022699096	0.0107554975802556	0.0152533265598142	0.0135521798061996	-0.011573705104305	0.0319521703479558	-0.00528388789206905	-0.01803639483625	0.0029955001958871	-0.00398983110928541	0.00349000413175289	-0.00048490138128992	-0.00542958086272301	0.00188313929750522	-0.00485248848010524	-0.00808598454921313	0.000313984417282462	-0.00768151989460798	-0.0039758311514134	-0.00407764469906003	0.00418208992844409	0.00203784545552167	-0.000560116283142795	-0.00163864662711965	-0.00186045887511482	-0.00221359238618968	0.000764607269130055	0.00165532709869984	-0.00311646405532446	-0.00117373335958824	0.0024371905188218	0.00115698820663697	-0.00153227582801678	-0.00257767728704203	-0.000230450530838517	-0.00085352659431586	0.00177243278422524	0.00164669838896009	0.000996658096442733	0.000358315347859458	0.000650106176489048	-0.000530016472003558	0.00097317767867055	-0.000756061622838298	-0.0017204275715076	-0.00175323032330762	0.0000790176384256393	-0.00103789981589235	0.00130155838757483	0.00068622818725592	0.00110999515353524	-0.00216483172234993	-0.000611092332947268	0.00120243457431377	-0.000192876617230135	-0.000323358921857014	-0.00017321248198579
ERR2233282	ERR2233282_1.fastq	ERR2233282_2.fastq	Gulf of Mexico	SAMEA104452351	ERX2286261	Gulf of Mexico	Sta A 2-3 cm 1	Station A	sediment	39603897	bioturb_Sta A 2-3 cm 1	bioturb_Sta A 2-3 cm 1	0.441253484956422	0.101141786844928	-0.0388939441738648	-0.0911457794295383	-0.0285854949505038	-0.147128106042133	-0.310189741974735	-0.26513607022546	-0.0550114514376846	0.0105310792249143	-0.00317478122282426	0.0720439373151933	-0.055024456604628	-0.0837269570822112	-0.176586806583132	0.0128824023679643	0.0186281624568637	-0.0618917439136523	0.00251505174329697	-0.0525657747431628	-0.0120164721162963	-0.0209044531841772	-0.0672845345462084	-0.0232474064497392	0.0862914427781288	0.0548349735169263	-0.105061159394587	-0.0472186294257809	0.0912330492333668	-0.0724891536094704	0.030918765478088	0.010879691578408	0.00185307740704923	0.0114320894229611	-0.00726088331180774	-0.017135762721164	0.00797201162069838	-0.0065280789412336	0.00274871599186366	0.00205109118262616	0.0051888610209279	-0.00522723672203062	-0.00107617039891034	-0.00468023947892492	0.0100740850969818	0.0022686470741698	-0.000673034228109049	0.000488285881034273	-0.00063907849292855	-0.0145064633895221	0.00837833959274395	-0.00197890413985993	0.00505413487449265	-0.00359832669045727	0.00187008998229034	-0.00591990665156566	0.00268526227684117	0.000522873790654296	0.00259696073847929	-0.00555793866425493	0.000176975728089284	0.0017792391223144	-0.00112268575749367	0.0000441873861944866	0.00325134883115629	-0.00455877164655293	-0.000947902307640167	0.00276026716960541	0.00589981718678911	0.00234964957549746	-0.0035674910595884	0.0011115018321035	-0.00342511904805398	-0.00273703601589165	0.0018135907636783	0.00351580102999614	0.00205538467652801	-0.00339991386194117	-0.000657541563025244	0.000114124805338869	0.00271888512476297
