SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	sample_accession	experiment_accession	geographic_location	library_name	site_name	sample_description	base_count	sample_title	Description	PCo1	PCo2	PCo3	PCo4	PCo5	PCo6	PCo7	PCo8	PCo9	PCo10	PCo11	PCo12	PCo13	PCo14	PCo15	PCo16	PCo17	PCo18	PCo19	PCo20	PCo21	PCo22	PCo23	PCo24	PCo25	PCo26	PCo27	PCo28	PCo29	PCo30	PCo31	PCo32	PCo33	PCo34	PCo35	PCo36	PCo37	PCo38	PCo39	PCo40	PCo41	PCo42	PCo43	PCo44	PCo45	PCo46	PCo47	PCo48	PCo49	PCo50	PCo51	PCo52	PCo53	PCo54	PCo55	PCo56	PCo57	PCo58	PCo59	PCo60	PCo61	PCo62	PCo63	PCo64	PCo65	PCo66	PCo67	PCo68	PCo69	PCo70	PCo71	PCo72
ERR2233253	ERR2233253_1.fastq	ERR2233253_2.fastq	Back River, Maine	SAMEA104452322	ERX2286232	Back River, Maine	Cross River WB 1	Cross River	worm burrow	41586000	bioturb_Cross River WB 1	bioturb_Cross River WB 1	-187.921570105606	33.1258741453394	-63.3996919349469	24.0714275352086	-24.8001477802261	22.2034925260539	24.6693812626179	26.3281293164327	-57.9291430892378	1.83211457180776	-74.503993073396	49.6061600542198	-49.2864976807678	-0.0219069954461482	-6.13629742986776	20.5834370594236	22.7167516515552	15.2667527049221	13.487801108152	-33.3719234063195	-14.3040189238508	30.6468292992133	-22.4823609604046	-1.52321689291623	10.0705948635732	13.3463614102572	16.8076574459503	2.75109820286554	18.2308966851034	5.2997686662791	19.2922763100797	-12.7458810621446	-0.163887849693643	-11.3627667762222	22.2672030891693	6.35259702407855	-19.0087810775431	-14.3532182229862	-7.9113645328857	-14.1160148675052	6.37783046519887	18.2135428354516	5.65507141212159	-7.67012459478763	4.35809193036996	8.9660899562232	2.13257214361903	5.50788439275005	6.5191510915543	-1.42275826518896	-17.1081690137803	20.15079612374	-18.5150857643219	-2.14521079538334	-8.01828237592749	24.122456578194	-11.6530059793608	-3.50762667152405	11.1523296062838	0.0651679995029595	-0.848717520156652	-10.4815471651955	-0.380795894853495	0.2779872088749	-4.60034519409361	5.04347324842455	3.51036013439038	6.5710132110682	-1.02766642704433	5.51979019930563	0.776366332291361	0.0882386020781555
ERR2233254	ERR2233254_1.fastq	ERR2233254_2.fastq	Back River, Maine	SAMEA104452323	ERX2286233	Back River, Maine	Cross River WB 2	Cross River	worm burrow	43065158	bioturb_Cross River WB 2	bioturb_Cross River WB 2	-166.461074227041	79.3786209393569	-96.4633393319784	38.6453699419276	-72.9509347150672	-81.4602164270593	57.3311913931517	-48.1930217142062	-15.6196722198251	12.6163244885131	-24.8438002336632	17.1643965539947	-15.8815029745732	-1.16506142695733	-58.3793037492135	9.18528741230255	17.3882525825598	2.93763518460508	-9.43699867787151	-3.66600463045114	12.9473866129932	10.2331126706583	29.4594000165787	-2.42815253660281	3.13400536380634	-10.011685421427	-0.174707687118144	-6.39743661559352	26.5327906886747	17.8120716617763	-19.854229649065	16.4006107842509	-3.57746926795416	-20.698000405178	10.878757467731	24.0534689584829	4.20671710404454	0.4157161898319	-7.53434229109583	-5.15184050715959	-5.50441083340844	-6.14089560165333	-26.4511948466505	-12.3730714762909	1.62624084734162	4.48889202103609	14.6088852700809	-4.05895113775715	-5.95987109274748	-13.9722458388443	0.969977399882926	14.107051811453	4.03762132156337	-14.2601082092117	9.965202450732	1.6663641561548	-3.56474125239899	0.690056575317525	-12.0864518447532	-0.894056661636902	11.8514266381269	22.8295456756505	5.00805629659473	-6.46419061278541	0.635270603015847	-2.26965788049283	-1.2519689507046	4.84064890036012	-0.15869164624481	-4.31931598959065	-0.20436072521273	0.416057815507753
ERR2233255	ERR2233255_1.fastq	ERR2233255_2.fastq	Back River, Maine	SAMEA104452324	ERX2286234	Back River, Maine	Cross River WB 3	Cross River	worm burrow	39513544	bioturb_Cross River WB 3	bioturb_Cross River WB 3	-147.378201571354	48.1463875587806	-74.5411298482907	27.5926748523747	-36.1820522795636	26.4140946081644	50.8680973364892	19.5142459072226	-38.1261403770411	32.664072387944	-60.6021681742211	42.9928450388914	-36.9348326697538	0.397452946626831	-23.6994860505273	41.3800950298554	61.5054690874615	15.522886499616	-35.0021288276224	24.1639137562498	4.25336402416961	-0.144465108442955	12.2388263596107	0.522369447315534	22.3326827377265	4.5542604519257	-32.0681914293049	20.5043838536348	-9.01587946154021	16.2760654734892	-20.1354904055614	1.57952831862184	-21.400382088401	23.8223053169853	-16.7425820584271	-6.06872016541106	-0.820248228410326	-10.9436708288489	-3.62131701891312	17.6591743214997	-8.33002847425255	9.24293938576868	3.72743038266802	5.67617688870848	-15.123792820335	-13.3032639436953	-4.46949418918228	-23.0609047714405	7.29829610810867	13.9336471756369	-2.76616684260365	-6.99113283751005	-0.0384523067952209	-0.76459422168254	-12.8159552030871	-15.1368402899455	-3.02213279238945	5.94863541701512	0.354903521867575	-9.33196378502859	-2.62897476638777	-2.83613022178942	-6.74167215451909	7.91831627237336	8.55978505445814	-1.48014118711265	-2.44707002076336	-3.31970244146208	-1.33923843480978	-2.45772900981911	-0.307438111328679	-0.750379655433023
ERR2233256	ERR2233256_1.fastq	ERR2233256_2.fastq	Back River, Maine	SAMEA104452325	ERX2286235	Back River, Maine	Cross River sed 1	Cross River	sediment	41870268	bioturb_Cross River sed 1	bioturb_Cross River sed 1	-156.599212228586	72.75725480783	-94.1600116695478	29.1691858283185	-64.7196857389736	-84.1890354471717	62.2914910707955	-39.0085538364799	40.9983279153756	37.3971358098277	-10.1522478248106	8.47344191063763	7.95052527229539	22.7957152468814	-8.77326095829318	8.60270030616496	-14.004414723318	-14.3419486087602	-2.57717750014054	17.476446786588	-7.19236157274379	21.4186837040266	-11.1821987537434	7.72723882045245	-15.1031198976534	-19.08321670437	1.09602545831457	17.3753858345461	16.7842910882002	-22.4319958779205	-3.85352436805148	10.6839164047775	19.8766767662564	22.4009599100264	8.08326296977154	-12.1132390826216	-6.06822800040408	20.2457523705981	-2.42869949307931	19.9942779481825	10.7076084583607	6.58018351334895	5.59407430028677	-2.91706103653461	12.2120787228299	-13.3197990845844	3.04129858624968	7.33708125847237	-14.4962335175314	12.9414729114496	-5.56816283628801	0.596620770803666	-23.3766356663217	1.56703903685466	-3.96082763757984	-1.43264004582344	19.3304451798923	10.8666632683658	7.73528027389435	1.46253351046037	-5.98262674835066	4.59493615849899	8.70680020520019	2.04671232212873	-7.86899566143412	-0.836812205793031	2.24060516632789	-6.80902037501794	1.33378443971634	0.284231390535664	1.59952456774008	1.90753475767639
ERR2233257	ERR2233257_1.fastq	ERR2233257_2.fastq	Back River, Maine	SAMEA104452326	ERX2286236	Back River, Maine	Cross River sed 2	Cross River	sediment	50292692	bioturb_Cross River sed 2	bioturb_Cross River sed 2	-162.972663881558	32.1779302287359	-90.2532642208449	18.0018957511713	-26.9486500407281	36.8903045030102	59.3040020642481	-1.23318949424212	10.5893451239069	63.9786041744889	-12.2733271756437	28.745920867418	13.8719863202435	29.3257211388563	0.638876540086312	-4.49526160488804	7.63033830150554	-28.3318586488732	21.9852649700545	-16.490958271815	-13.1353496215946	27.4682906492851	6.76567909356855	16.5014776521971	28.1338046913795	-6.23807173560031	2.34168287581191	7.58089628279773	17.2045346702105	-26.0704087826254	-4.55219561683888	-11.7435084433071	37.5563149589971	22.7909461179753	20.4323392590165	9.35904310883735	13.1219084981064	14.6701296567228	-2.42657448068818	6.69433245671385	-11.9335145417071	2.63117106645507	-0.0552243104964228	15.5651207011627	1.70602318185984	8.90429281130977	0.0166815789446218	13.7746909003442	3.6986557360654	-16.0566508111154	14.7308786580299	-8.69386514223251	9.07482376524418	6.94530919159821	5.48012266609704	-1.21709078918565	-2.73657088156827	-7.37393136686365	-17.1470796422068	0.27240512490853	2.55380307447832	-11.6377520964987	-2.45762533611339	-1.10821231841684	3.48894211510984	-20.4607463712354	-2.18456606886287	-7.2977312792027	-3.49186395221052	2.68409119340863	1.00489222935755	-0.240899309199053
ERR2233258	ERR2233258_1.fastq	ERR2233258_2.fastq	Back River, Maine	SAMEA104452327	ERX2286237	Back River, Maine	Cross River sed 3	Cross River	sediment	38982222	bioturb_Cross River sed 3	bioturb_Cross River sed 3	-155.034751529795	61.2774337367236	-94.8633637275005	34.1833373161819	-53.7759608841085	-89.9628635215932	59.6899073131505	-42.7635359447876	35.0848693120972	23.969938844088	-16.0434139679163	34.0707857315772	25.9483520826341	20.149012261312	-4.74977440035365	5.31687640654358	-27.2147307435965	9.7763491683738	-6.33678260467607	-12.9817099067564	-19.054746784451	6.75632099511533	-12.847608961685	10.0581297901965	1.82961802209704	-5.37861204010248	-4.1218462486017	-0.54310219708757	-10.7193990803938	-7.71199871107149	-11.369545351359	-2.43504369549089	0.114920312265353	11.4046145729361	-26.2196583764937	12.1147329681493	-0.162231150645078	-17.6547331257103	-2.11599772578771	-17.7134312050517	-5.95766018186984	-26.2547733307309	1.71039290885631	12.1602375202789	-1.54621086321745	-5.00608062806702	-8.6778037869887	27.6099622385454	1.27351060223734	-17.8328545760373	-10.9872776630145	-15.4250271579873	10.5855105768936	-0.665685407955613	-0.559505380416098	3.66997769927177	-14.5483802925636	-1.97434476949444	9.22053580177164	11.3084789011462	-2.16474762210326	-9.63060668141095	-2.97001683910321	8.11188242733704	10.7451916290888	17.3441135234854	-0.664839314671442	0.518441834720333	4.88504383247634	2.47888652916271	-1.49849619337233	-0.514633625156529
ERR2233259	ERR2233259_1.fastq	ERR2233259_2.fastq	Damariscotta River, Maine	SAMEA104452328	ERX2286238	Damariscotta River, Maine	Lowes Cove WB	Lowes Cove	worm burrow	23483617	bioturb_Lowes Cove WB	bioturb_Lowes Cove WB	-191.608551498463	-17.2077182744927	40.7809073863371	85.838986601173	-28.1012320179996	-166.204878809861	-14.5099199996418	-2.80005435424417	-72.5848071045902	-83.9583590412687	-125.969754298218	-37.9226149722095	31.9941552505843	-5.16401908558691	58.2958417119775	-32.7333549349096	-28.0674198147954	6.05954074158823	-0.890756412300556	17.5334038002861	19.7617148662156	-36.3083999735801	-5.14361027062241	-29.0051178863503	17.5654538146687	2.51090843293099	-13.3973338374551	-4.56362664323168	17.4608607396096	-22.4564266999715	-9.94921532252285	-19.4350419492507	0.846467636198726	0.275031651318758	-7.36867935482522	-6.79377991465937	1.68637561549991	7.87969452088447	4.64757125808025	11.5058889299004	-5.54260226028952	9.85557708311491	-0.622549830959582	4.91805483921286	-12.6281890668156	5.38236737827185	2.12851499107642	1.95704049031836	8.50449653526312	-8.80055116175922	8.88834947458523	5.04611708061844	4.02280463297977	-1.34795351724194	-10.7341145904215	-9.99204610649499	3.99392468110839	2.75720271584322	-1.25555337670225	-2.60971182407315	4.39502522856799	-1.80276258336446	0.847084105404713	1.53790295647965	-1.70333279788164	-0.989552624267362	-1.22187745038828	-3.65435497584875	-1.10478054318293	2.46310702496071	0.844085956551282	0.0453678447843455
ERR2233280	ERR2233280_1.fastq	ERR2233280_2.fastq	Gulf of Mexico	SAMEA104452349	ERX2286259	Gulf of Mexico	Sta A 0-1 cm 1	Station A	sediment	36875338	bioturb_Sta A 0-1 cm 1	bioturb_Sta A 0-1 cm 1	356.147483105633	-73.8645305025763	-96.0313440235431	24.0500830119179	-127.495899282197	-143.313620835404	-75.9143812082926	-18.9145084631113	-1.33084890776632	26.1529978754065	33.1628229603738	-0.281136127963886	34.2768856983716	-19.6297709658947	18.8320769434258	9.35809898257085	43.9714509583236	-37.3949769554847	-39.0719931605429	1.19264407204424	-34.1410520677972	4.21179820718888	-6.90552022089923	-5.92966880767039	-0.904739383875171	13.845694928247	18.7537291630836	-2.80427761559	-2.11583047250413	-11.6313114459446	5.86334241278453	0.860879302760532	-4.42776326699568	-4.49322271375583	5.95876160578328	10.0939303575431	-11.8033021590994	3.34317975067699	10.8231584339041	-3.51753472571324	-3.04216968080576	12.4248986759128	-9.93356541902033	7.3375837863885	7.84165611287947	-12.4952759123746	-9.26595737357876	5.70043545500722	-12.2555624929601	14.7626815162609	-1.6204080354738	-6.65357687861248	3.71490533223709	-5.17243754811364	5.85617738063555	-4.42647822853863	2.46126055439715	-0.251532815570946	-0.860689598031062	6.08824530995826	6.98606955418604	1.71390289081519	-8.30963547027958	4.31464003158613	-0.4379313219638	1.15534137983197	5.34673390165636	5.7266648890221	-2.53758700821277	1.07663972476768	0.00365152675582855	-0.236665096174647
ERR2233281	ERR2233281_1.fastq	ERR2233281_2.fastq	Gulf of Mexico	SAMEA104452350	ERX2286260	Gulf of Mexico	Sta A 0-1 cm 2	Station A	sediment	35353490	bioturb_Sta A 0-1 cm 2	bioturb_Sta A 0-1 cm 2	356.016206176869	-108.641653512428	-67.2326238756523	-5.0502453276713	-69.8821611686851	-8.74486509152477	-113.924343215665	37.4685536151514	-4.38886457030555	46.6163815543722	-11.5054961048962	-28.2318242868095	21.4905274930607	-13.8995498809138	33.1496602881921	-16.235571720169	27.8325935904886	-70.665162331384	-28.5728476256648	-7.40633091695881	-6.92956883926312	-5.77070992941987	-2.5545124108182	5.07028552596862	21.5263536440079	-1.76402091271932	-20.3796435053627	12.6097819675152	2.39669270452807	18.4025948645848	4.21717479400242	-7.40254527956417	-7.86924719519119	8.96333956792059	-4.42323186009456	25.5001428156779	5.37985900627518	1.80865732089992	0.547728921861983	10.0827652809947	-7.10390101983007	3.83488567705181	-9.76125467346143	12.6300485820966	-4.58718908099022	6.27271094918808	5.21507490316769	-10.8750018863597	12.7157309260669	-8.81569872761624	-14.9744865864819	4.80364187690588	-18.6289564324639	1.20096215890126	-5.01071733976976	15.5412495479903	-3.61501076752158	-2.08248296710354	-3.59018288468283	1.81848838214694	10.2028377825259	2.20827442408048	2.50927278584529	-5.39670698508739	-1.52903527024413	3.71836803454087	-1.98721865504552	-2.04296793898997	4.34572542254346	1.88523609422772	-1.09345793294165	0.51651620997062
ERR2233282	ERR2233282_1.fastq	ERR2233282_2.fastq	Gulf of Mexico	SAMEA104452351	ERX2286261	Gulf of Mexico	Sta A 2-3 cm 1	Station A	sediment	39603897	bioturb_Sta A 2-3 cm 1	bioturb_Sta A 2-3 cm 1	370.405000842805	-115.134205771067	-74.8603252383305	-18.8885403029003	-72.3188334808605	8.71628254860999	-90.7968443749801	59.8648514485087	9.98921139901324	57.4810402559678	-26.7196795136061	-14.6472903893021	-26.3636315661144	-21.8085085402213	-31.9262130139459	10.366070366495	-32.4273759573517	18.3295798231284	-2.84870080671365	21.7777724849936	-21.5741240443926	-13.994566830638	4.53161454242936	-20.8858882439652	-7.64921999562701	-10.0051581714622	-3.32221136572024	22.9699309383707	13.7482667609904	7.64036707765874	-2.75264640633934	-9.39276773412024	-5.83761950945145	9.73288276298509	-8.31242396535957	6.58516633097425	-8.91107412163662	11.3240086759433	-9.84499246244864	19.0300769100633	6.15046365684192	8.2656513062351	6.68108844771056	-1.78951795162298	23.176359326779	5.29315912164354	0.100585631331022	10.3595339813315	-9.36384888127914	-18.2941033902985	17.401091933939	-4.86887740202514	25.4367138632236	7.14528043197668	7.05970587890093	-8.94814196552412	-0.908971334790275	8.56646460697517	15.9979347973724	7.26591273757064	-5.71673842376544	4.02914471596591	-0.784330107040066	6.93182822970024	-1.378543416942	-1.59930735133794	2.49890255171008	10.1271252973842	-3.20898717727037	-0.455758965846084	2.70425518581905	-0.602103257526286
