New.ReferenceOTU858	ERR2233230_116866
New.ReferenceOTU925	ERR2233251_1238556	ERR2233269_2342953
New.ReferenceOTU924	ERR2233248_1064818
New.ReferenceOTU927	ERR2233309_4627983
New.ReferenceOTU926	ERR2233260_1813527
New.ReferenceOTU921	ERR2233276_2699521
New.ReferenceOTU920	ERR2233255_1518926
New.ReferenceOTU923	ERR2233263_1991440
New.ReferenceOTU922	ERR2233271_2438755
New.ReferenceOTU929	ERR2233241_720287
New.ReferenceOTU928	ERR2233239_603039
New.ReferenceOTU1798	ERR2233249_1149979
New.ReferenceOTU1799	ERR2233290_3575139
New.ReferenceOTU1248	ERR2233280_2998070
New.ReferenceOTU614	ERR2233285_3248630
New.ReferenceOTU1790	ERR2233249_1143870
New.ReferenceOTU1791	ERR2233249_1160675
New.ReferenceOTU1792	ERR2233293_3792147
New.ReferenceOTU1793	ERR2233261_1877132
New.ReferenceOTU1794	ERR2233268_2289885
New.ReferenceOTU1795	ERR2233233_300484
New.ReferenceOTU1244	ERR2233252_1348345
New.ReferenceOTU618	ERR2233293_3825951
New.ReferenceOTU1899	ERR2233241_736844
New.ReferenceOTU1898	ERR2233290_3604706
New.ReferenceOTU1897	ERR2233304_4357192
New.ReferenceOTU1896	ERR2233309_4644180
New.ReferenceOTU1895	ERR2233275_2683274
New.ReferenceOTU1894	ERR2233305_4395621
New.ReferenceOTU1893	ERR2233318_5210116
New.ReferenceOTU1892	ERR2233250_1171543
New.ReferenceOTU1891	ERR2233257_1650062
New.ReferenceOTU1890	ERR2233312_4881537
New.ReferenceOTU1599	ERR2233250_1172221
New.ReferenceOTU662	ERR2233312_4844670
New.ReferenceOTU663	ERR2233239_594637
New.ReferenceOTU660	ERR2233230_99912
New.ReferenceOTU661	ERR2233238_548702
New.ReferenceOTU666	ERR2233267_2227620
New.ReferenceOTU667	ERR2233320_5305381	ERR2233320_5286005
New.ReferenceOTU1279	ERR2233254_1479787
New.ReferenceOTU665	ERR2233262_1923404
New.ReferenceOTU1277	ERR2233309_4630875
New.ReferenceOTU1276	ERR2233309_4634262
New.ReferenceOTU668	ERR2233266_2112474
New.ReferenceOTU1274	ERR2233256_1571010
New.ReferenceOTU1273	ERR2233235_413950
New.ReferenceOTU1272	ERR2233279_2931043
New.ReferenceOTU1271	ERR2233305_4408453
New.ReferenceOTU1270	ERR2233236_454763
New.ReferenceOTU1079	ERR2233235_411970
New.ReferenceOTU1078	ERR2233255_1506919
New.ReferenceOTU1071	ERR2233270_2379325
New.ReferenceOTU1070	ERR2233254_1457078
New.ReferenceOTU1073	ERR2233238_576744
New.ReferenceOTU1072	ERR2233254_1451775
New.ReferenceOTU1075	ERR2233265_2048980
New.ReferenceOTU1074	ERR2233304_4351548
New.ReferenceOTU1077	ERR2233253_1365669
New.ReferenceOTU1076	ERR2233313_4939735
New.ReferenceOTU1673	ERR2233267_2171540
New.ReferenceOTU1672	ERR2233244_885320
New.ReferenceOTU1671	ERR2233264_2005576
New.ReferenceOTU1670	ERR2233263_1979905
New.ReferenceOTU1677	ERR2233241_705262
New.ReferenceOTU1676	ERR2233249_1120935
New.ReferenceOTU1675	ERR2233272_2475550
New.ReferenceOTU1674	ERR2233279_2897616
New.ReferenceOTU1679	ERR2233245_944011
New.ReferenceOTU1678	ERR2233229_19401
New.ReferenceOTU594	ERR2233257_1688794
New.ReferenceOTU595	ERR2233258_1745355
New.ReferenceOTU596	ERR2233248_1076083
New.ReferenceOTU597	ERR2233255_1515198
New.ReferenceOTU590	ERR2233280_2994286
New.ReferenceOTU591	ERR2233258_1729549
New.ReferenceOTU592	ERR2233281_3047057
New.ReferenceOTU593	ERR2233248_1064304
New.ReferenceOTU1413	ERR2233269_2338379
New.ReferenceOTU1412	ERR2233242_775368
New.ReferenceOTU1411	ERR2233231_171934
New.ReferenceOTU1410	ERR2233268_2268556	ERR2233266_2133574
New.ReferenceOTU598	ERR2233267_2234959
New.ReferenceOTU599	ERR2233268_2264736
New.ReferenceOTU1415	ERR2233265_2065042
New.ReferenceOTU1414	ERR2233232_201080
New.ReferenceOTU962	ERR2233244_889863
New.ReferenceOTU1962	ERR2233235_418598
New.ReferenceOTU1307	ERR2233319_5227389
New.ReferenceOTU1306	ERR2233239_626860
New.ReferenceOTU1305	ERR2233229_1449
New.ReferenceOTU1304	ERR2233238_543370
New.ReferenceOTU1303	ERR2233243_853778
New.ReferenceOTU1302	ERR2233268_2259595
New.ReferenceOTU1301	ERR2233233_272225
New.ReferenceOTU1300	ERR2233267_2218185
New.ReferenceOTU1309	ERR2233236_428390
New.ReferenceOTU1308	ERR2233229_71959
New.ReferenceOTU118	ERR2233265_2057923
New.ReferenceOTU119	ERR2233261_1882245
New.ReferenceOTU448	ERR2233251_1269188
New.ReferenceOTU449	ERR2233277_2781180
New.ReferenceOTU442	ERR2233282_3078042
New.ReferenceOTU443	ERR2233305_4411140
New.ReferenceOTU440	ERR2233287_3408912
New.ReferenceOTU441	ERR2233246_975706
New.ReferenceOTU446	ERR2233253_1377510
New.ReferenceOTU447	ERR2233246_985805
New.ReferenceOTU444	ERR2233269_2319420
New.ReferenceOTU445	ERR2233229_21791
New.ReferenceOTU288	ERR2233270_2392991
New.ReferenceOTU289	ERR2233265_2095820
New.ReferenceOTU1095	ERR2233260_1801144
New.ReferenceOTU1094	ERR2233261_1865251
New.ReferenceOTU1093	ERR2233249_1135704
New.ReferenceOTU1092	ERR2233247_1014514
New.ReferenceOTU1091	ERR2233239_588240
New.ReferenceOTU1090	ERR2233304_4383362
New.ReferenceOTU280	ERR2233281_3049152
New.ReferenceOTU281	ERR2233250_1201901
New.ReferenceOTU282	ERR2233250_1175302
New.ReferenceOTU283	ERR2233251_1244539
New.ReferenceOTU284	ERR2233241_695097
New.ReferenceOTU285	ERR2233258_1748584
New.ReferenceOTU286	ERR2233255_1540931
New.ReferenceOTU1098	ERR2233230_105856
New.ReferenceOTU1546	ERR2233300_4125007
New.ReferenceOTU1541	ERR2233316_5154833
New.ReferenceOTU1686	ERR2233312_4833558
New.ReferenceOTU1540	ERR2233251_1247555
New.ReferenceOTU846	ERR2233242_779948
New.ReferenceOTU847	ERR2233252_1317835
New.ReferenceOTU844	ERR2233279_2941537
New.ReferenceOTU845	ERR2233264_1998606
New.ReferenceOTU842	ERR2233235_403304
New.ReferenceOTU843	ERR2233275_2648692
New.ReferenceOTU840	ERR2233261_1855708
New.ReferenceOTU841	ERR2233245_939747
New.ReferenceOTU1542	ERR2233312_4883666
New.ReferenceOTU848	ERR2233261_1848985
New.ReferenceOTU849	ERR2233255_1521725
New.ReferenceOTU938	ERR2233309_4679898
New.ReferenceOTU939	ERR2233309_4671582
New.ReferenceOTU932	ERR2233308_4604070
New.ReferenceOTU933	ERR2233266_2119697
New.ReferenceOTU930	ERR2233265_2069528
New.ReferenceOTU931	ERR2233246_968627
New.ReferenceOTU936	ERR2233241_696315
New.ReferenceOTU937	ERR2233305_4416562
New.ReferenceOTU934	ERR2233263_1940876
New.ReferenceOTU935	ERR2233234_333980
New.ReferenceOTU1497	ERR2233299_4084239	ERR2233287_3434613
New.ReferenceOTU1496	ERR2233283_3132547
New.ReferenceOTU1499	ERR2233283_3151075
New.ReferenceOTU1498	ERR2233300_4117371
New.ReferenceOTU1934	ERR2233287_3412731
New.ReferenceOTU1935	ERR2233229_44982
New.ReferenceOTU1936	ERR2233247_1030479
New.ReferenceOTU1937	ERR2233290_3602452
New.ReferenceOTU1930	ERR2233295_3867315
New.ReferenceOTU1931	ERR2233321_5325752
New.ReferenceOTU1932	ERR2233321_5326267
New.ReferenceOTU1933	ERR2233275_2670487
New.ReferenceOTU1938	ERR2233310_4708840
New.ReferenceOTU1939	ERR2233251_1299903
New.ReferenceOTU617	ERR2233270_2415785
New.ReferenceOTU616	ERR2233269_2331396
New.ReferenceOTU615	ERR2233255_1518245
New.ReferenceOTU1249	ERR2233251_1237945
New.ReferenceOTU613	ERR2233257_1628200
New.ReferenceOTU612	ERR2233249_1118575
New.ReferenceOTU611	ERR2233235_383363
New.ReferenceOTU610	ERR2233251_1250502
New.ReferenceOTU1242	ERR2233276_2693390
New.ReferenceOTU1243	ERR2233284_3226576
New.ReferenceOTU1240	ERR2233255_1505960
New.ReferenceOTU1241	ERR2233253_1405224
New.ReferenceOTU1246	ERR2233280_2966757
New.ReferenceOTU1247	ERR2233281_3054046
New.ReferenceOTU619	ERR2233279_2903453
New.ReferenceOTU1245	ERR2233256_1580029
New.ReferenceOTU1648	ERR2233283_3178091
New.ReferenceOTU1649	ERR2233264_2046183
New.ReferenceOTU1646	ERR2233251_1260607
New.ReferenceOTU1647	ERR2233277_2765512
New.ReferenceOTU1644	ERR2233265_2086956
New.ReferenceOTU1645	ERR2233277_2807619	ERR2233277_2764170
New.ReferenceOTU1642	ERR2233256_1609093
New.ReferenceOTU1643	ERR2233297_3973490
New.ReferenceOTU1640	ERR2233233_298973
New.ReferenceOTU1641	ERR2233245_928240
New.ReferenceOTU1426	ERR2233295_3862754
