	ERR2233238	ERR2233239	ERR2233230	ERR2233231	ERR2233232	ERR2233233	ERR2233234	ERR2233235	ERR2233236	ERR2233237	ERR2233259	ERR2233319	ERR2233251	ERR2233229	ERR2233308	ERR2233309	ERR2233304	ERR2233305	ERR2233306	ERR2233307	ERR2233300	ERR2233301	ERR2233303	ERR2233313	ERR2233312	ERR2233258	ERR2233310	ERR2233317	ERR2233316	ERR2233315	ERR2233314	ERR2233252	ERR2233253	ERR2233250	ERR2233318	ERR2233256	ERR2233257	ERR2233254	ERR2233255	ERR2233249	ERR2233248	ERR2233241	ERR2233240	ERR2233243	ERR2233242	ERR2233245	ERR2233244	ERR2233247	ERR2233246	ERR2233278	ERR2233279	ERR2233274	ERR2233275	ERR2233276	ERR2233277	ERR2233270	ERR2233271	ERR2233272	ERR2233273	ERR2233263	ERR2233262	ERR2233261	ERR2233260	ERR2233267	ERR2233266	ERR2233265	ERR2233264	ERR2233269	ERR2233268	ERR2233299	ERR2233296	ERR2233297	ERR2233295	ERR2233292	ERR2233293	ERR2233290	ERR2233291	ERR2233289	ERR2233288	ERR2233285	ERR2233284	ERR2233287	ERR2233286	ERR2233281	ERR2233280	ERR2233283	ERR2233282	ERR2233311	ERR2233320	ERR2233321
ERR2233238	0.0	0.161875004605	0.189641454619	0.131593124663	0.148841790276	0.126681246098	0.171064690279	0.144065446144	0.19930506652	0.170098768319	0.319642645881	0.436120188815	0.182358844072	0.187283709313	0.534267095963	0.497791075114	0.39749889391	0.378200323781	0.368705736338	0.40631684647	0.622786405225	0.705023401944	0.638586403875	0.47794076925	0.384262799844	0.302231817113	0.490264129484	0.340265612994	0.358484285627	0.496706844872	0.416583594984	0.197749265746	0.200235719786	0.210038459582	0.424017659202	0.268148389456	0.236550638115	0.258836670737	0.212353891491	0.223070408242	0.20360382371	0.118168602088	0.100156216698	0.159714228087	0.13824975643	0.174226939519	0.146777738464	0.155640926835	0.182071389975	0.372565789903	0.322931162151	0.316423505723	0.398228497237	0.331612754144	0.375363628716	0.200674333474	0.213491435125	0.327953603906	0.364246335081	0.269590733859	0.327572001531	0.2833482943	0.286655250668	0.216042939173	0.21326467857	0.281738392377	0.268932040364	0.222369279642	0.211660050441	0.703899309374	0.549387003176	0.541648800914	0.564212023981	0.565875558506	0.557595465541	0.706568067465	0.645567463069	0.694263426841	0.695303302547	0.553979990102	0.563887294986	0.59763736564	0.573128807892	0.557176845028	0.501607320421	0.650632399356	0.572223288857	0.445355655913	0.310243550407	0.316741827716
ERR2233239	0.161875004605	0.0	0.225234582429	0.190399679196	0.120815688133	0.182107252554	0.127736291336	0.186850718602	0.216621157281	0.199151172485	0.28513086926	0.482255803177	0.20589974556	0.209726393739	0.536568074531	0.509021885529	0.440365674019	0.417560498726	0.388019255689	0.353383130988	0.6249646945	0.699885529199	0.644940133184	0.484033566213	0.404118353406	0.229514031803	0.49619134374	0.389027959547	0.408215337633	0.433321175898	0.435292952174	0.223976626294	0.216325470148	0.21678363969	0.459652002022	0.198302850521	0.244336287531	0.189415788652	0.232464059316	0.232417158537	0.208308294614	0.178592014008	0.151044658104	0.20050079921	0.185619281539	0.212698917565	0.190538054514	0.197841309112	0.205571125676	0.414494108461	0.36731445993	0.357181411733	0.437801546824	0.37690407455	0.421696077012	0.252366450314	0.252973903911	0.369260704841	0.388323250333	0.305011044994	0.369752265303	0.310834014737	0.327465943298	0.253963149474	0.254918845006	0.318158307768	0.305799209716	0.256616281226	0.273738366995	0.697413358426	0.557923373841	0.549166249665	0.576596562536	0.575675687916	0.567890563589	0.703032141879	0.594615015581	0.691097132263	0.692594359886	0.512986494575	0.573028158676	0.603764638586	0.582975894509	0.587981650053	0.465430826939	0.66949575566	0.597046685336	0.381899430273	0.338426797369	0.344259310014
ERR2233230	0.189641454619	0.225234582429	0.0	0.229708554652	0.220961169135	0.191252613444	0.202717637716	0.142102539522	0.129865260715	0.117271047133	0.365108906644	0.48692869359	0.19400500629	0.19359386724	0.55728797086	0.5199890104	0.397762073509	0.381364711916	0.383020091134	0.423585103975	0.645773410454	0.730285142824	0.659954218916	0.49522708615	0.386710298899	0.248059993737	0.499780251331	0.390778549255	0.416863088295	0.515301143483	0.4116126245	0.112844346517	0.240429362015	0.141311836555	0.481926895801	0.220028150086	0.163060653688	0.277384013595	0.222901910361	0.142905465379	0.136236106665	0.200305024763	0.182315130892	0.150790613186	0.166398386575	0.127125700221	0.174163656255	0.168524829824	0.124888845611	0.403956476787	0.351344004145	0.336699543191	0.404828647187	0.358653195753	0.409838150475	0.219152943608	0.218078739658	0.340719269422	0.376889857781	0.224722675883	0.367199856449	0.214405939892	0.271205343957	0.232898327401	0.242919368595	0.22796546776	0.22299527663	0.218287499263	0.244644474763	0.731652046215	0.566559320605	0.557567033945	0.568727739042	0.579615052945	0.576583543397	0.713747539865	0.660044268368	0.700111076298	0.70136407097	0.592035631691	0.603835793407	0.620605134666	0.602797438969	0.602213078366	0.546176913012	0.689911750683	0.619923173067	0.451933435773	0.336861864759	0.325562533373
ERR2233231	0.131593124663	0.190399679196	0.229708554652	0.0	0.157165159108	0.115603756707	0.203190852662	0.166272984702	0.245912146509	0.212048792401	0.29550986735	0.428831416071	0.22149893839	0.227740363201	0.558541616531	0.523132936611	0.422930750722	0.414378913274	0.400377051746	0.431038332893	0.655125421545	0.724473768835	0.674171764857	0.502508617197	0.420357178016	0.348905654118	0.517128115591	0.337733311765	0.378495497107	0.521457688735	0.459996777387	0.240429080295	0.22521649551	0.2576675247	0.433299520264	0.314242337964	0.283715867384	0.302181219123	0.262489705119	0.274963567379	0.250638530269	0.111142283863	0.137547221693	0.170858034263	0.140805057035	0.204439899036	0.142461264038	0.16361134542	0.219409877659	0.355434466111	0.308464533476	0.332860694276	0.377308058608	0.317764578901	0.357338755229	0.214917756447	0.246970872194	0.319353367701	0.395108119022	0.291806382964	0.313525163836	0.309869545478	0.289797258695	0.242757094165	0.23058257728	0.293744153191	0.282893538884	0.252947332861	0.235427747295	0.718557771246	0.586327131358	0.580312648628	0.605927053637	0.606426275211	0.597150225331	0.734326916769	0.669679378317	0.723551125502	0.72564649738	0.562722590797	0.582162441376	0.634329948601	0.612564458515	0.556990870336	0.514624807689	0.640792195288	0.56119002936	0.47215843598	0.328789204982	0.337844294409
ERR2233232	0.148841790276	0.120815688133	0.220961169135	0.157165159108	0.0	0.150410314731	0.112038038176	0.170847084517	0.232402750457	0.204601796227	0.261807092904	0.456024650479	0.22074294303	0.219237498373	0.541622355671	0.508713226861	0.418850726525	0.403730575219	0.388737381703	0.35228014086	0.636233119987	0.710183599203	0.655077785877	0.485527992564	0.406304711632	0.25104454435	0.500764313724	0.359342033194	0.383598970545	0.439375534662	0.442845531791	0.232692477295	0.23254204451	0.242461393709	0.437291086945	0.219883212969	0.268012446431	0.206259495628	0.256817036366	0.258262052544	0.236628262485	0.144677304195	0.150503779186	0.180078541645	0.161605513823	0.201298348557	0.168756891533	0.183786901856	0.210186783262	0.386276143327	0.337867217201	0.339880432023	0.40419328296	0.34937299929	0.390148909079	0.231555538887	0.246054276577	0.343574849006	0.389312575712	0.289445337689	0.343830869889	0.303170799591	0.305737495326	0.243906861237	0.237700531914	0.300808014584	0.288608749698	0.2536747347	0.248921218734	0.707933796585	0.569334606574	0.563530180652	0.588517661103	0.589758687802	0.580875440813	0.71429992616	0.603160560286	0.703027470463	0.704561393981	0.500649427409	0.575672745407	0.617342934833	0.597320536078	0.572320164102	0.449793675548	0.657635736973	0.577729629388	0.38704756771	0.328805653363	0.336157691697
ERR2233233	0.126681246098	0.182107252554	0.191252613444	0.115603756707	0.150410314731	0.0	0.177313528531	0.130567179914	0.207448321774	0.174990063548	0.304841776345	0.432686177312	0.205349341767	0.213195216651	0.55858538585	0.523284904375	0.413453251812	0.404494158872	0.392682227583	0.428670012672	0.651562536865	0.726672325771	0.670718132105	0.499873102514	0.408236580173	0.319901470421	0.515164499488	0.334177284928	0.378351424364	0.521225427824	0.448163713967	0.201506975923	0.223974735699	0.219399104954	0.439009389795	0.285263755293	0.250614158397	0.284838663413	0.246377958345	0.236582993899	0.212975607611	0.105529265162	0.126845736762	0.131251705327	0.109243284555	0.165096689573	0.112929350262	0.135418903204	0.184555920194	0.353781307442	0.307172987783	0.325540939021	0.373064791247	0.315760288386	0.361168180789	0.195335090877	0.22373403728	0.308344466038	0.383962771282	0.260454083767	0.308890834429	0.275466669894	0.265428279989	0.22928568143	0.219421090111	0.261470632234	0.249800744721	0.228975437615	0.227319131527	0.723678055138	0.582008636952	0.575353239264	0.602005052515	0.602069745895	0.593509544104	0.732513178858	0.669523931781	0.721010287074	0.722771645404	0.570891332314	0.589051949098	0.630345162546	0.606989156609	0.560160774771	0.520870033973	0.649366081694	0.56884933701	0.468632839765	0.318086616079	0.322560907312
ERR2233234	0.171064690279	0.127736291336	0.202717637716	0.203190852662	0.112038038176	0.177313528531	0.0	0.169967357509	0.208286402301	0.183723433258	0.286431760456	0.472115824375	0.217536084101	0.21195411724	0.545389545607	0.514751986954	0.426819171093	0.405958991806	0.393324800312	0.341487793824	0.634670399773	0.714054986962	0.655758200782	0.48760741458	0.407257216267	0.20439194556	0.502716174277	0.385387780428	0.400757392923	0.426171715949	0.436175257794	0.20812191995	0.236556699558	0.217943490043	0.454504643386	0.175131207677	0.243995043518	0.172431317658	0.247031757713	0.232140981114	0.212108586209	0.18111531735	0.168164042844	0.183327581815	0.174160374024	0.186779452796	0.174412069851	0.184062534564	0.191409969962	0.415813141029	0.368392809535	0.361233848116	0.431999231774	0.379589463096	0.42384619018	0.244380580981	0.242125012944	0.36676105376	0.39751526381	0.286278955631	0.368535403638	0.292692123581	0.308804426267	0.250518244328	0.253838385566	0.299405317308	0.285133519183	0.245904384542	0.265163092994	0.712842202101	0.571376227754	0.563184151659	0.585460930352	0.58565629322	0.579763779174	0.707065205225	0.584826100919	0.6949108701	0.697291601525	0.506181355774	0.586412768498	0.616700624875	0.596160441848	0.591894962765	0.455250845267	0.678257677831	0.601588150425	0.371673884978	0.335235788205	0.335417189522
ERR2233235	0.144065446144	0.186850718602	0.142102539522	0.166272984702	0.170847084517	0.130567179914	0.169967357509	0.0	0.149984076193	0.120270120964	0.341000620745	0.466765079234	0.187733378519	0.185241207987	0.566003788271	0.531741651231	0.410575014829	0.399682956184	0.395348576884	0.43538586135	0.650265052994	0.732850577731	0.668963653816	0.506359813438	0.405259279013	0.273805636609	0.51731803884	0.370708578585	0.402898969963	0.526162358134	0.436302172554	0.152820670439	0.208910262656	0.16547931478	0.466873930667	0.24055695743	0.191851934789	0.26927189247	0.209246973991	0.179798938896	0.155793244374	0.144086454031	0.139007106474	0.112618126208	0.11490381508	0.114687153269	0.11496103599	0.118294860989	0.126620663452	0.386885078078	0.333203550547	0.335149616593	0.399151959095	0.345689184086	0.396218828052	0.197881399143	0.21051952662	0.334554528138	0.38253535322	0.233265556362	0.342794028622	0.237739606985	0.265231859368	0.218860868543	0.216106485949	0.245139621328	0.231819710482	0.212850280955	0.245639468737	0.731011613817	0.578433211158	0.568727519274	0.586173875962	0.590865017705	0.586719868234	0.724847542353	0.664686398028	0.71180197962	0.713388917744	0.5842963488	0.59988531957	0.626562263925	0.604253811982	0.588789126847	0.537448131808	0.677603073372	0.604936119327	0.468411158137	0.327085879478	0.328701400667
ERR2233236	0.19930506652	0.216621157281	0.129865260715	0.245912146509	0.232402750457	0.207448321774	0.208286402301	0.149984076193	0.0	0.111177283497	0.393982645956	0.513393908283	0.20267639751	0.190863287039	0.562295727057	0.528919915414	0.42101503369	0.401565690059	0.388176054734	0.432346427835	0.644191751959	0.73070744108	0.659051414752	0.504710774008	0.38982623876	0.22629725909	0.505182101737	0.413150868354	0.437473417357	0.520072075388	0.412707576278	0.122778639872	0.23448194299	0.122171364324	0.503745491642	0.19765850862	0.130906308242	0.269881618657	0.203388811171	0.122352717461	0.127229262294	0.214824281876	0.191510669706	0.16720359767	0.182829459456	0.138338343241	0.18567927824	0.176756914616	0.10275032012	0.433299780374	0.381196388425	0.36419079336	0.441109664519	0.389495197984	0.442485806292	0.243453831575	0.235322949296	0.36828030112	0.38635184302	0.247882632939	0.392853954501	0.232950297596	0.296907357067	0.252464065641	0.263395710245	0.25196725949	0.245936869328	0.233812438459	0.279110015439	0.730762315352	0.564228614199	0.55662623542	0.565820960829	0.577214435553	0.573987904978	0.712159183407	0.658922922365	0.698013649136	0.699521795505	0.608685605981	0.610225777752	0.61851796779	0.598438474833	0.622040765499	0.56380120635	0.7077912173	0.640833678629	0.455159287355	0.352702841525	0.342671091299
ERR2233237	0.170098768319	0.199151172485	0.117271047133	0.212048792401	0.204601796227	0.174990063548	0.183723433258	0.120270120964	0.111177283497	0.0	0.374873025348	0.49063763158	0.195496956968	0.184260921881	0.562423970249	0.526666960681	0.410170330614	0.391893699244	0.386662977075	0.431792544126	0.645455772511	0.732017513133	0.661317143071	0.502355345299	0.391621438567	0.244332452844	0.507189742894	0.394186472204	0.419444400654	0.521335803077	0.41750440163	0.119209192178	0.229705943583	0.12357512577	0.482726813472	0.210993021365	0.152534787172	0.269180686938	0.20161276832	0.13455141344	0.120433682061	0.183839036786	0.161602630523	0.143820808111	0.154512199586	0.117683602545	0.155790907426	0.147299903886	0.0987850508561	0.41717355194	0.364817735975	0.354872147632	0.424483547089	0.374282732819	0.428167741132	0.224213614481	0.220372724897	0.356662397721	0.389535138392	0.242479088172	0.375672852509	0.232938293948	0.284636517141	0.234170737291	0.242441323564	0.247136877993	0.239539224545	0.2213307937	0.256568322895	0.731012702127	0.569002279966	0.559054888296	0.573525654198	0.580770780004	0.577554539204	0.716112983732	0.662446049008	0.701853018885	0.703534710389	0.596391460432	0.602325797782	0.619891755878	0.598266846718	0.605457570766	0.549404450999	0.693070673813	0.624208941334	0.459417018036	0.332094426751	0.331310900458
